title,topic,doi,year,difficulty
Deep Learning Approaches,Machine Learning,10.1000/deep_learning_approaches,2021,2
Vision Transformers Survey,Computer Vision,10.1000/vision_transformers_survey,2022,2
Big Data Analysis,Data Science,10.1000/big_data_analysis,2020,1
AI Ethics and Policy,Artificial Intelligence,10.1000/ai_ethics_and_policy,2023,3
Functional Programming Paradigms,Algorithms,10.1000/functional_programming_paradigms,2024,3
Graph Algorithms,Algorithms,10.1000/graph_algorithms,2022,2
Neural Network Optimization,Machine Learning,10.1000/neural_network_optimization,2023,3
Generative Adversarial Networks,Machine Learning,10.1000/generative_adversarial_networks,2022,3
Self-Supervised Learning,Machine Learning,10.1000/self_supervised_learning,2023,3
Explainable AI,Artificial Intelligence,10.1000/explainable_ai,2021,2
